# rain.dat rainfall uncorrected																	
@dataValueAttribs																	
rain	0	9999.0	mm														
@dataSetAttribs																	
missingDataVal	-99																
dataStart	01.01.1970	7:30															
dataEnd	31.05.1999	7:30															
tres	d																
@statAttribVal																	
name	TANNA	MUEHLTROFF	OETTERSDORF	MEHLTHEUER	STELZEN	TOBERTITZ	PAHREN	ZEULENRODA(Stadt)	ZEULENRODA(Tal)	STAITZ (TAL	GOEHREN-DOE	GOESCHITZ	MIESITZ	SCHLEIZ	GREIZ-DOELA	PLAUEN (MNS	PAUSA-UNTER
ID	43051	43054	43060	43333	43334	43335	43350	43351	43352	43353	43354	43355	4218	4234	4420	4420	4232
elevation	548	490.0	470.0	496.0	584.0	470.0	395.0	462.0	360.0	350	300	410	340	501	270	386	442
x	4490565	4495252.0	4487045.3	4502338.6	4497658.1	4500000.0	4492928.4	4498797.8	4498798.3	4500000	4501200.459	4490591.399	4488211.276	4485831.93	4512945.667	4509438.51	4500000
y	5595899	5601453.6	5607028.8	5601452.0	5593999.8	5593999.3	5612579.1	5612574.4	5614465.3	5620026.659	5620026.797	5610691.834	5621819.645	5603361.446	5610699.374	5594007.771	5607012.859
dataColumn	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17
@dataVal																	
	Uhrzeit	Tanna	MUEHLTROFF	OETTERSDORF	MEHLTHEUER	STELZEN	TOBERTITZ	PAHREN	ZEULENRODA(Stadt)	ZEULENRODA(Tal)	STAITZ (TAL	GOEHREN-DOE	GOESCHITZ	MIESITZ	SCHLEIZ	GREIZ-DOELA	PLAUEN (MNS	PAUSA-UNTER
18.12.1983	7:30	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-99.0	-99.0	-99.0	0.0	-99.0
19.12.1983	7:30	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-99.0	-99.0	-99.0	0.0	-99.0
20.12.1983	7:30	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-99.0	-99.0	-99.0	0.0	-99.0
21.12.1983	7:30	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.1	0.1	0.0	-99.0	-99.0	-99.0	0.0	-99.0
22.12.1983	7:30	2.1	2.2	2.5	0.7	2.6	3.6	2.7	1.5	1.1	1.9	1.9	2.8	-99.0	-99.0	-99.0	1.1	-99.0
23.12.1983	7:30	0.5	1.1	1.0	1.5	0.2	0.0	1.3	0.5	0.2	0.0	0.0	1.1	-99.0	-99.0	-99.0	1.2	-99.0
24.12.1983	7:30	0.0	0.0	0.0	0.0	0.5	0.0	0.2	0.1	0.2	0.0	0.4	0.0	-99.0	-99.0	-99.0	0.4	-99.0
25.12.1983	7:30	6.8	6.5	6.0	4.5	7.2	8.5	5.0	5.2	3.8	0.4	4.8	6.3	-99.0	-99.0	-99.0	4.4	-99.0
26.12.1983	7:30	4.6	4.6	0.0	3.8	4.7	5.3	5.5	3.1	4.0	6.0	6.0	5.1	-99.0	-99.0	-99.0	4.3	-99.0
27.12.1983	7:30	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	1.4	-99.0	-99.0	-99.0	0.0	-99.0
28.12.1983	7:30	0.0	0.0	0.0	0.0	0.0	0.9	0.1	0.0	0.0	0.0	0.0	0.0	-99.0	-99.0	-99.0	0.1	-99.0
29.12.1983	7:30	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4	-99.0	-99.0	-99.0	0.0	-99.0
30.12.1983	7:30	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-99.0	-99.0	-99.0	0.0	-99.0
31.12.1983	7:30	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-99.0	-99.0	-99.0	0.0	-99.0
01.01.1984	7:30	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-99.0	-99.0	-99.0	0.0	-99.0
02.01.1984	7:30	0.4	0.2	0.0	0.1	0.6	0.0	0.0	0.0	0.0	0.0	0.0	2.4	-99.0	-99.0	-99.0	0.1	-99.0
03.01.1984	7:30	4.9	2.0	1.5	0.8	5.0	0.5	1.5	0.9	1.4	1.4	1.9	2.4	-99.0	-99.0	-99.0	2.4	-99.0
04.01.1984	7:30	7.1	8.1	6.5	7.7	6.4	6.3	4.6	4.4	2.7	4.5	3.5	5.3	-99.0	-99.0	-99.0	6.4	-99.0
05.01.1984	7:30	0.4	0.2	0.0	0.4	0.3	0.0	0.5	0.6	0.1	0.6	0.0	0.1	-99.0	-99.0	-99.0	0.1	-99.0
06.01.1984	7:30	0.0	0.0	1.0	0.1	0.0	0.0	0.2	0.0	0.1	0.0	0.9	0.0	-99.0	-99.0	-99.0	0.0	-99.0
07.01.1984	7:30	1.9	0.0	0.0	1.2	0.7	1.2	0.9	0.5	0.8	1.4	1.6	0.0	-99.0	-99.0	-99.0	1.1	-99.0
08.01.1984	7:30	2.6	0.3	2.2	1.4	1.7	2.1	1.3	1.6	0.6	2.1	2.2	3.6	-99.0	-99.0	-99.0	0.4	-99.0
09.01.1984	7:30	3.0	2.6	3.0	0.7	2.2	2.5	2.8	2.0	1.2	2.7	2.8	3.7	-99.0	-99.0	-99.0	0.6	-99.0
10.01.1984	7:30	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.1	0.0	-99.0	-99.0	-99.0	0.0	-99.0
11.01.1984	7:30	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.1	0.1	0.0	-99.0	-99.0	-99.0	0.0	-99.0
12.01.1984	7:30	0.0	0.0	0.0	0.0	0.2	0.0	0.2	0.6	0.0	0.0	0.0	0.0	-99.0	-99.0	-99.0	0.0	-99.0
13.01.1984	7:30	4.0	1.0	1.0	0.4	4.1	3.2	0.2	0.2	0.0	0.0	1.0	0.0	-99.0	-99.0	-99.0	1.1	-99.0
14.01.1984	7:30	9.0	5.0	4.5	3.3	8.5	8.4	6.6	4.7	6.2	6.7	7.1	7.2	-99.0	-99.0	-99.0	5.3	-99.0
15.01.1984	7:30	1.7	0.5	0.5	0.4	2.0	1.7	0.2	0.1	0.1	2.3	1.9	0.0	-99.0	-99.0	-99.0	0.4	-99.0
16.01.1984	7:30	6.1	2.0	1.0	1.4	4.5	5.2	0.3	0.5	0.1	0.0	0.0	0.8	-99.0	-99.0	-99.0	2.0	-99.0
17.01.1984	7:30	2.0	1.8	0.0	2.0	3.7	3.1	1.6	1.0	1.6	1.3	1.4	2.6	-99.0	-99.0	-99.0	1.1	-99.0
18.01.1984	7:30	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-99.0	-99.0	-99.0	0.0	-99.0
19.01.1984	7:30	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-99.0	-99.0	-99.0	0.0	-99.0
20.01.1984	7:30	0.7	3.8	0.0	0.2	0.3	1.1	0.9	0.0	0.0	0.0	0.0	0.0	-99.0	-99.0	-99.0	0.1	-99.0
21.01.1984	7:30	0.0	0.0	0.0	0.0	1.5	0.0	0.0	0.0	0.0	0.0	0.0	1.4	-99.0	-99.0	-99.0	0.0	-99.0
22.01.1984	7:30	2.0	1.6	2.2	1.8	2.7	2.3	1.5	1.5	1.3	2.7	1.4	2.6	-99.0	-99.0	-99.0	0.5	-99.0
23.01.1984	7:30	3.3	1.0	0.4	1.4	4.3	2.0	0.4	0.7	0.1	0.2	2.7	0.7	-99.0	-99.0	-99.0	0.4	-99.0
24.01.1984	7:30	5.4	2.0	1.5	0.8	3.7	2.4	0.5	0.3	0.1	0.2	0.4	0.5	-99.0	-99.0	-99.0	0.1	-99.0
25.01.1984	7:30	1.0	1.1	2.0	0.2	0.6	2.8	0.2	0.1	0.0	0.2	0.2	0.0	-99.0	-99.0	-99.0	0.0	-99.0
26.01.1984	7:30	0.0	0.0	0.5	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	-99.0	-99.0	-99.0	0.0	-99.0
27.01.1984	7:30	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-99.0	-99.0	-99.0	0.0	-99.0
28.01.1984	7:30	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-99.0	-99.0	-99.0	0.0	-99.0
29.01.1984	7:30	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.2	0.2	0.0	-99.0	-99.0	-99.0	0.0	-99.0
30.01.1984	7:30	3.1	2.0	1.0	3.5	3.6	3.6	2.1	2.1	2.0	2.8	2.9	1.8	-99.0	-99.0	-99.0	2.6	-99.0
31.01.1984	7:30	0.3	0.3	1.0	0.2	0.3	0.0	0.1	0.2	0.2	0.4	0.4	0.3	-99.0	-99.0	-99.0	0.0	-99.0
01.02.1984	7:30	5.4	1.0	0.5	1.6	4.3	2.2	0.7	0.6	0.2	0.8	0.3	0.0	-99.0	-99.0	-99.0	0.1	-99.0
02.02.1984	7:30	0.9	0.0	0.5	0.8	1.1	0.6	0.4	0.1	0.1	0.0	0.3	0.0	-99.0	-99.0	-99.0	0.6	-99.0
03.02.1984	7:30	3.7	3.0	0.5	2.7	2.9	3.2	2.7	2.5	2.5	3.8	4.5	0.7	-99.0	-99.0	-99.0	2.2	-99.0
04.02.1984	7:30	0.0	0.0	1.0	0.1	0.3	0.0	0.0	0.0	0.2	0.0	0.1	2.0	-99.0	-99.0	-99.0	0.0	-99.0
05.02.1984	7:30	4.0	3.0	2.0	3.6	4.0	0.5	2.5	1.7	2.2	3.2	3.2	3.7	-99.0	-99.0	-99.0	2.3	-99.0
06.02.1984	7:30	32.5	24.3	12.0	15.1	27.1	34.2	21.6	16.6	19.1	24.1	23.1	25.8	-99.0	-99.0	-99.0	17.3	-99.0
07.02.1984	7:30	4.2	2.2	2.5	0.6	1.1	3.3	2.1	1.9	0.7	1.4	2.4	2.4	-99.0	-99.0	-99.0	1.5	-99.0
08.02.1984	7:30	8.6	8.0	7.5	4.2	8.0	7.6	4.6	6.7	3.6	5.4	4.8	4.4	-99.0	-99.0	-99.0	3.8	-99.0
09.02.1984	7:30	9.7	6.0	7.5	4.3	7.7	8.1	9.6	4.1	4.9	7.9	4.2	8.7	-99.0	-99.0	-99.0	3.7	-99.0
10.02.1984	7:30	5.7	6.0	3.5	4.4	5.0	4.8	4.0	4.7	2.6	4.1	5.6	4.1	-99.0	-99.0	-99.0	2.6	-99.0
11.02.1984	7:30	1.7	0.0	0.0	0.4	0.0	0.0	0.3	0.0	0.2	0.6	0.1	0.0	-99.0	-99.0	-99.0	1.0	-99.0
12.02.1984	7:30	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-99.0	-99.0	-99.0	0.0	-99.0
13.02.1984	7:30	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-99.0	-99.0	-99.0	0.0	-99.0
14.02.1984	7:30	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-99.0	-99.0	-99.0	0.0	-99.0
15.02.1984	7:30	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-99.0	-99.0	-99.0	0.0	-99.0
16.02.1984	7:30	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-99.0	-99.0	-99.0	0.0	-99.0
17.02.1984	7:30	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-99.0	-99.0	-99.0	0.0	-99.0
18.02.1984	7:30	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-99.0	-99.0	-99.0	0.0	-99.0
19.02.1984	7:30	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-99.0	-99.0	-99.0	0.0	-99.0
20.02.1984	7:30	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-99.0	-99.0	-99.0	0.0	-99.0
21.02.1984	7:30	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-99.0	-99.0	-99.0	0.0	-99.0
22.02.1984	7:30	2.3	2.5	4.0	3.2	3.4	2.9	2.8	3.8	1.1	3.6	2.6	3.2	-99.0	-99.0	-99.0	1.5	-99.0
23.02.1984	7:30	0.0	0.5	3.0	0.7	0.0	0.0	0.0	1.6	0.1	0.0	0.0	0.5	-99.0	-99.0	-99.0	0.6	-99.0
24.02.1984	7:30	3.7	3.8	3.5	3.0	4.4	4.5	4.8	5.1	3.6	4.8	4.6	4.0	-99.0	-99.0	-99.0	1.9	-99.0
25.02.1984	7:30	2.8	1.7	3.5	2.2	2.6	2.1	2.9	2.2	1.9	2.4	2.7	0.7	-99.0	-99.0	-99.0	1.1	-99.0
26.02.1984	7:30	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.5	0.5	0.0	-99.0	-99.0	-99.0	0.1	-99.0
27.02.1984	7:30	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-99.0	-99.0	-99.0	0.1	-99.0
28.02.1984	7:30	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-99.0	-99.0	-99.0	0.0	-99.0
29.02.1984	7:30	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-99.0	-99.0	-99.0	0.0	-99.0
01.03.1984	7:30	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-99.0	-99.0	-99.0	0.0	-99.0
02.03.1984	7:30	1.8	0.0	0.2	0.5	0.3	0.0	0.1	0.0	0.0	0.0	0.0	0.5	-99.0	-99.0	-99.0	0.4	-99.0
03.03.1984	7:30	0.0	0.0	0.0	0.0	1.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-99.0	-99.0	-99.0	0.5	-99.0
04.03.1984	7:30	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	-99.0	-99.0	-99.0	0.0	-99.0
05.03.1984	7:30	0.0	0.1	0.0	0.0	0.0	0.0	0.1	0.0	0.1	0.0	0.0	0.0	-99.0	-99.0	-99.0	0.1	-99.0
06.03.1984	7:30	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.1	0.0	0.3	0.2	0.0	-99.0	-99.0	-99.0	0.0	-99.0
07.03.1984	7:30	0.9	1.1	0.6	0.1	1.4	1.5	0.1	0.2	0.1	0.0	0.0	0.5	-99.0	-99.0	-99.0	0.2	-99.0
08.03.1984	7:30	6.9	6.0	7.6	8.4	7.0	5.7	6.5	10.8	8.2	8.8	8.8	8.0	-99.0	-99.0	-99.0	2.3	-99.0
09.03.1984	7:30	1.5	0.1	2.0	2.1	2.3	1.4	3.0	1.8	1.2	2.2	2.4	0.7	-99.0	-99.0	-99.0	0.6	-99.0
10.03.1984	7:30	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-99.0	-99.0	-99.0	0.0	-99.0
11.03.1984	7:30	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-99.0	-99.0	-99.0	0.0	-99.0
12.03.1984	7:30	0.0	0.0	0.0	0.4	0.2	0.0	0.2	0.1	0.2	0.0	0.0	0.0	-99.0	-99.0	-99.0	0.1	-99.0
13.03.1984	7:30	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-99.0	-99.0	-99.0	0.0	-99.0
14.03.1984	7:30	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-99.0	-99.0	-99.0	0.0	-99.0
15.03.1984	7:30	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-99.0	-99.0	-99.0	0.0	-99.0
16.03.1984	7:30	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-99.0	-99.0	-99.0	0.0	-99.0
17.03.1984	7:30	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-99.0	-99.0	-99.0	0.0	-99.0
18.03.1984	7:30	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-99.0	-99.0	-99.0	0.0	-99.0
19.03.1984	7:30	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-99.0	-99.0	-99.0	0.0	-99.0
20.03.1984	7:30	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-99.0	-99.0	-99.0	0.0	-99.0
21.03.1984	7:30	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-99.0	-99.0	-99.0	0.0	-99.0
22.03.1984	7:30	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-99.0	-99.0	-99.0	0.0	-99.0
23.03.1984	7:30	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-99.0	-99.0	-99.0	0.0	-99.0
24.03.1984	7:30	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-99.0	-99.0	-99.0	0.0	-99.0
25.03.1984	7:30	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.6	0.6	0.0	-99.0	-99.0	-99.0	0.1	-99.0
26.03.1984	7:30	0.2	0.2	0.0	0.0	0.3	4.8	0.0	0.0	0.0	0.3	0.2	0.1	-99.0	-99.0	-99.0	0.4	-99.0
27.03.1984	7:30	5.7	4.0	1.5	2.6	3.8	0.0	0.1	0.2	0.0	0.4	0.2	2.5	-99.0	-99.0	-99.0	2.8	-99.0
28.03.1984	7:30	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	-99.0	-99.0	-99.0	0.0	-99.0
29.03.1984	7:30	2.1	1.0	2.0	0.6	0.6	0.5	1.0	0.1	0.1	0.7	0.9	2.0	-99.0	-99.0	-99.0	0.2	-99.0
30.03.1984	7:30	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-99.0	-99.0	-99.0	0.0	-99.0
31.03.1984	7:30	0.0	0.0	0.5	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-99.0	-99.0	-99.0	0.0	-99.0
01.04.1984	7:30	15.0	12.0	16.0	12.9	15.0	17.8	19.4	14.8	14.6	15.0	14.9	16.4	-99.0	-99.0	-99.0	13.0	-99.0
02.04.1984	7:30	19.0	17.0	13.0	14.0	16.5	21.0	19.3	18.7	18.0	20.0	17.9	17.8	-99.0	-99.0	-99.0	15.1	-99.0
03.04.1984	7:30	5.6	6.2	10.5	5.0	4.6	4.6	3.2	4.8	3.1	2.8	5.4	2.9	-99.0	-99.0	-99.0	4.7	-99.0
04.04.1984	7:30	4.1	4.0	3.0	4.8	4.3	3.4	5.3	3.2	4.1	6.9	2.9	4.7	-99.0	-99.0	-99.0	3.5	-99.0
05.04.1984	7:30	0.0	2.0	2.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.4	-99.0	-99.0	-99.0	0.0	-99.0
06.04.1984	7:30	0.0	0.2	0.0	0.4	0.0	0.0	0.0	0.0	0.0	0.1	0.0	2.0	-99.0	-99.0	-99.0	0.0	-99.0
07.04.1984	7:30	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-99.0	-99.0	-99.0	0.0	-99.0
08.04.1984	7:30	1.8	0.5	1.0	1.1	1.9	1.5	1.8	1.1	0.9	0.9	0.8	1.8	-99.0	-99.0	-99.0	0.8	-99.0
09.04.1984	7:30	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	-99.0	-99.0	-99.0	0.0	-99.0
10.04.1984	7:30	3.1	1.6	2.1	3.6	3.3	3.2	3.7	4.5	3.4	4.0	3.8	1.8	-99.0	-99.0	-99.0	2.5	-99.0
11.04.1984	7:30	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-99.0	-99.0	-99.0	0.0	-99.0
12.04.1984	7:30	0.0	0.2	0.5	1.3	3.3	2.6	3.4	2.7	1.9	1.1	0.2	2.0	-99.0	-99.0	-99.0	1.0	-99.0
13.04.1984	7:30	4.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-99.0	-99.0	-99.0	0.0	-99.0
14.04.1984	7:30	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-99.0	-99.0	-99.0	0.0	-99.0
15.04.1984	7:30	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-99.0	-99.0	-99.0	0.0	-99.0
16.04.1984	7:30	5.7	7.0	5.2	4.3	5.0	6.8	4.8	5.2	4.6	5.1	4.2	4.8	-99.0	-99.0	-99.0	2.9	-99.0
17.04.1984	7:30	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-99.0	-99.0	-99.0	0.0	-99.0
18.04.1984	7:30	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-99.0	-99.0	-99.0	0.0	-99.0
19.04.1984	7:30	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-99.0	-99.0	-99.0	0.0	-99.0
20.04.1984	7:30	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-99.0	-99.0	-99.0	0.0	-99.0
21.04.1984	7:30	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-99.0	-99.0	-99.0	0.0	-99.0
22.04.1984	7:30	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-99.0	-99.0	-99.0	0.0	-99.0
23.04.1984	7:30	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-99.0	-99.0	-99.0	0.0	-99.0
24.04.1984	7:30	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-99.0	-99.0	-99.0	0.0	-99.0
25.04.1984	7:30	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-99.0	-99.0	-99.0	0.0	-99.0
26.04.1984	7:30	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-99.0	-99.0	-99.0	0.0	-99.0
27.04.1984	7:30	0.9	0.0	0.0	0.1	0.1	0.3	0.0	0.2	0.0	0.0	0.0	0.0	-99.0	-99.0	-99.0	0.0	-99.0
28.04.1984	7:30	5.1	0.1	2.5	3.1	4.4	3.1	2.9	3.4	2.5	2.2	2.1	1.8	-99.0	-99.0	-99.0	2.4	-99.0
29.04.1984	7:30	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-99.0	-99.0	-99.0	0.0	-99.0
30.04.1984	7:30	4.1	3.0	5.5	5.6	6.3	6.5	4.9	5.3	5.2	5.5	6.0	6.0	-99.0	-99.0	-99.0	4.5	-99.0
01.05.1984	7:30	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-99.0	-99.0	-99.0	0.0	-99.0
02.05.1984	7:30	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-99.0	-99.0	-99.0	0.0	-99.0
03.05.1984	7:30	1.3	9.0	1.5	1.3	0.3	0.3	0.0	0.0	0.0	0.0	0.0	0.6	-99.0	-99.0	-99.0	0.4	-99.0
04.05.1984	7:30	0.0	0.0	0.0	0.0	0.4	0.6	0.0	0.1	0.0	0.2	0.7	0.0	-99.0	-99.0	-99.0	0.1	-99.0
05.05.1984	7:30	1.6	0.0	0.5	1.3	1.7	0.9	7.0	5.4	3.9	5.7	2.0	5.0	-99.0	-99.0	-99.0	2.3	-99.0
06.05.1984	7:30	0.0	0.2	1.5	0.1	0.2	0.0	2.4	1.1	2.2	2.8	3.2	3.3	-99.0	-99.0	-99.0	0.1	-99.0
07.05.1984	7:30	0.8	0.0	0.0	0.7	1.2	0.7	1.5	0.7	1.0	1.0	0.6	0.0	-99.0	-99.0	-99.0	2.0	-99.0
08.05.1984	7:30	3.5	4.0	2.0	1.2	2.8	1.8	4.7	3.4	4.7	5.7	2.5	1.0	-99.0	-99.0	-99.0	0.5	-99.0
09.05.1984	7:30	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-99.0	-99.0	-99.0	0.0	-99.0
10.05.1984	7:30	0.0	2.0	3.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.6	-99.0	-99.0	-99.0	0.0	-99.0
11.05.1984	7:30	2.3	3.0	2.0	0.6	0.9	0.0	0.8	1.3	1.0	0.2	0.2	6.4	-99.0	-99.0	-99.0	0.0	-99.0
12.05.1984	7:30	12.7	10.3	10.5	11.8	12.6	14.5	9.7	11.6	9.5	8.2	7.8	9.6	-99.0	-99.0	-99.0	9.9	-99.0
13.05.1984	7:30	7.8	10.7	5.0	6.2	8.0	10.3	8.7	8.0	8.0	6.9	6.3	8.2	-99.0	-99.0	-99.0	5.8	-99.0
14.05.1984	7:30	6.8	0.6	5.0	6.3	7.0	7.2	4.9	7.1	3.7	3.3	3.2	4.8	-99.0	-99.0	-99.0	3.1	-99.0
15.05.1984	7:30	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-99.0	-99.0	-99.0	0.1	-99.0
16.05.1984	7:30	4.2	6.4	8.0	1.9	6.5	6.9	3.2	1.6	0.7	1.3	1.3	8.1	-99.0	-99.0	-99.0	0.9	-99.0
17.05.1984	7:30	0.3	0.2	1.0	0.0	0.3	0.3	0.0	0.0	0.0	0.0	0.0	1.0	-99.0	-99.0	-99.0	0.1	-99.0
18.05.1984	7:30	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	-99.0	-99.0	-99.0	0.0	-99.0
19.05.1984	7:30	5.3	0.3	1.2	2.1	5.1	5.5	1.3	0.4	0.5	3.4	0.9	0.6	-99.0	-99.0	-99.0	3.6	-99.0
20.05.1984	7:30	6.7	4.0	4.5	3.9	6.1	8.9	7.2	7.5	2.5	7.0	7.1	9.7	-99.0	-99.0	-99.0	3.2	-99.0
21.05.1984	7:30	20.1	23.0	30.5	17.7	23.4	20.1	17.3	9.8	13.2	12.8	18.2	20.0	-99.0	-99.0	-99.0	7.8	-99.0
22.05.1984	7:30	0.0	0.0	1.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.9	-99.0	-99.0	-99.0	0.0	-99.0
23.05.1984	7:30	4.2	3.0	1.0	1.7	5.5	5.8	0.2	2.5	1.6	3.1	0.8	3.8	-99.0	-99.0	-99.0	1.4	-99.0
